"gene"	"transcript"	"logFC_gast_nect"	"logCPM_gast_nect"	"PValue_gast_nect"	"P_adjust_gast_nect"	"CMN0040"	"CMN0039"	"CMN0047"	"CMN0048"	"go"	"CMN0039_GO_wnt"	"CMN0040_GO_wnt"	"CMN0039_GO_mapk"	"CMN0040_GO_mapk"	"CMN0039_GO_cyst"	"CMN0040_GO_cyst"	"CMN0039_GO_fate"	"CMN0040_GO_fate"
"58"	"c101072_g2_i1"	"34274"	-0.122780069009303	2.64376417734086	0.903351540826931	1	95.16	115.02	63.04	64	"GO:0005794,GO:0005829,GO:0070062,GO:0019901,GO:0042803,GO:0047485,GO:0008284,GO:0010628,GO:0010629,GO:0030335,GO:0032874,GO:0033138,GO:0035023,GO:0036481,GO:0043066,GO:0043149,GO:0043406,GO:0044319,GO:0045747,GO:0050821,GO:0051683,GO:0090051,GO:0090168,GO:1903588"	115.02	95.16	115.02	95.16	115.02	95.16	115.02	95.16
"59"	"c101075_g1_i1"	"18521"	-1.56665583231696	-1.30166798840347	0.344101925320084	1	7	4	0	3	"GO:0016787,GO:0043170,GO:0044238"	176.870625	7	4	7	4	7	4	7
"60"	"c101075_g1_i2"	"18520"	4.98663936604775	-1.79641496256506	0.163147495524685	1	0	0	8	0	"GO:0016787"	0	0	0	0	0	0	0	0
"61"	"c101094_g1_i1"	"28108"	0.356932528456748	8.48376426891943	0.658573139086626	1	4160.01	6634.09	5482	3668.94	"GO:0005739,GO:0005819,GO:0005829,GO:0005925,GO:0030130,GO:0030132,GO:0030315,GO:0030669,GO:0031523,GO:0032588,GO:0042470,GO:0043195,GO:0043209,GO:0070062,GO:0071439,GO:0003725,GO:0004386,GO:0005198,GO:0008022,GO:0019901,GO:0030506,GO:0031072,GO:0032051,GO:0042277,GO:0044822,GO:0001649,GO:0006886,GO:0006892,GO:0007030,GO:0019886,GO:0031623,GO:0033572,GO:0061024,GO:0090307,GO:1900126,GO:1903077"	176.870625	4160.01	6634.09	4160.01	6634.09	4160.01	6634.09	4160.01
"62"	"c101105_g1_i1"	"78827"	0.778693299447041	4.8950206661722	0.361915585343144	1	291	727	412	253	"GO:0004518"	727	291	727	291	727	291	727	291
"63"	"c101125_g1_i1"	"82642"	0.0836380297151242	2.04569826249947	0.945636666663825	1	67	62	61	30	"GO:0016740,GO:0044763,GO:0050794"	62	67	62	67	62	67	62	67
"64"	"c101140_g1_i1"	"111959"	0.528416446724079	6.27887959113136	0.52531682337001	1	776.07	1517.32	1243.04	805.01	"GO:0005654,GO:0005737,GO:0070062,GO:0004123,GO:0030170,GO:0044540,GO:0018272,GO:0043123,GO:0044524,GO:0051092,GO:0051289,GO:0070814,GO:2001234"	1517.32	776.07	1517.32	776.07	1517.32	776.07	1517.32	776.07
"65"	"c101142_g1_i1"	"63270"	-5.79754749868272	-1.3649152179029	0.0735481097940025	1	12.57	0	0	0	"GO:0005488"	176.870625	12.57	0	12.57	0	12.57	184.124	12.57
"66"	"c101142_g1_i2"	"63271"	-0.675063716880864	2.86310761867883	0.471725256791467	1	72.43	85	80	145	"GO:0005488"	176.870625	72.43	85	72.43	85	72.43	85	72.43
"67"	"c101161_g1_i1"	"25621"	-0.366602382114803	2.23726114700013	0.702074993267762	1	54	50.68	68.16	74	"GO:0005788,GO:0046527,GO:0006664"	50.68	120.95125	50.68	54	50.68	54	50.68	54
"68"	"c101198_g2_i1"	"7636"	-1.0295935243214	5.79820619783956	0.263501171605362	1	551.74	357.85	717.41	1292.3	"GO:0004505,GO:0005506,GO:0016597,GO:0006559,GO:0055114"	357.85	551.74	357.85	551.74	357.85	551.74	357.85	551.74
"69"	"c101198_g2_i2"	"7637"	5.12548240610387e-15	-2.78163738332491	1	1	0	0	0	0	"GO:0004505,GO:0005506,GO:0016597,GO:0006559,GO:0055114"	0	0	0	0	0	0	0	0
"70"	"c101200_g1_i1"	"32425"	-0.71063862635654	1.92833845101993	0.487744100884753	1	45	28	53.96	68	"GO:0005768,GO:0005515,GO:0006810"	28	45	28	45	28	45	28	45
"71"	"c101224_g1_i1"	"46618"	0.00941837184165157	2.74500552832166	0.999999999999995	1	84	105	93	79	"GO:0005794,GO:0030667,GO:0031201,GO:0042995,GO:0000149,GO:0005484,GO:0006887,GO:0006906,GO:0008333,GO:0032386,GO:0048522,GO:0051128,GO:0051240"	105	84	105	84	105	84	105	84
"72"	"c101229_g1_i1"	"89913"	0.57217190046095	5.37973249234111	0.500572882765888	1	392.71	917.54	588.19	438.01	"GO:0005758,GO:0015035,GO:0022417,GO:0045041,GO:0051084,GO:0055114"	917.54	392.71	917.54	392.71	917.54	144.441666666667	917.54	156.602
"73"	"c101250_g1_i1"	"47647"	0.687545727860167	4.10815033517671	0.474512926248143	1	267.08	423.82	219.95	62.84	"GO:0005634,GO:0005737,GO:0005813,GO:0005819,GO:0046872,GO:0000226,GO:0001782,GO:0002759,GO:0030865,GO:0032147,GO:0043029,GO:0045579,GO:0048536,GO:0051900"	423.82	267.08	423.82	267.08	423.82	267.08	423.82	267.08
"74"	"c101250_g1_i2"	"7989"	-0.742212656757989	2.68460006677832	0.430836214092874	1	94.92	92.15	51.05	101.16	"GO:0005634,GO:0005737,GO:0005813,GO:0005819,GO:0046872,GO:0000226,GO:0001782,GO:0002759,GO:0030865,GO:0032147,GO:0043029,GO:0045579,GO:0048536,GO:0051900"	92.15	94.92	92.15	94.92	92.15	94.92	92.15	94.92
"75"	"c101285_g1_i1"	"48112"	0.372866482913515	0.833520208831414	0.783581924819459	1	34	34	22	2	"GO:0004672,GO:0005524,GO:0006468"	34	34	34	34	34	34	34	34
"76"	"c101343_g1_i1"	"116967"	0.400637876770457	4.97257146322216	0.656946283614347	1	472	758.71	331	204	"GO:0016874,GO:0008152"	758.71	472	758.71	75.0025	758.71	472	758.71	472
"77"	"c101345_g1_i1"	"28836"	0.607921104974642	0.339751850707123	0.599041038544019	1	10	25	16	12	"GO:0044765"	25	10	25	10	25	10	25	10
"78"	"c101353_g1_i1"	"51262"	-0.0311779719897199	6.74655173248551	0.970766232441151	1	1545.68	2142.12	1095.92	1162.33	"GO:0005515,GO:0033554"	2142.12	1545.68	2142.12	1545.68	2142.12	1545.68	2142.12	1545.68
"79"	"c101361_g1_i1"	"28785"	-1.20264070904369	0.519032617120874	0.559833092388426	1	45.74	0	22.22	0	"GO:0000123,GO:0005730,GO:0005737,GO:0004402,GO:0005515,GO:0046872,GO:0006260,GO:0006355,GO:0043966,GO:0043981,GO:0043982,GO:0043983,GO:0043984"	0	45.74	0	45.74	0	45.74	0	45.74
"80"	"c101361_g1_i2"	"28784"	-0.320456826446461	1.37535715692478	0.85346480804367	1	26.74	68.93	0	40.84	"GO:0000123,GO:0005730,GO:0005737,GO:0004402,GO:0005515,GO:0046872,GO:0006260,GO:0006355,GO:0043966,GO:0043981,GO:0043982,GO:0043983,GO:0043984"	68.93	26.74	68.93	26.74	68.93	26.74	68.93	26.74
"81"	"c101361_g1_i3"	"28783"	-0.289665451688117	-0.808421679072957	0.855181313545397	1	4.52	10.07	1.78	7.16	"GO:0004402,GO:0005488,GO:0006355,GO:0016573"	10.07	4.52	10.07	4.52	10.07	4.52	10.07	4.52
